Model_Num,Serial_Num,Year,Month,Day,Hour,Type,Gu_Name,Dong_Name,Temp
SDOT001,OC3CL200196,2023,1,3,16,residential_area,Dongdaemun-gu,Cheongnyangni-dong,1.8
SDOT001,OC3CL200196,2023,1,3,17,residential_area,Dongdaemun-gu,Cheongnyangni-dong,0.4
SDOT001,OC3CL200196,2023,1,3,18,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-0.8
SDOT001,OC3CL200196,2023,1,3,19,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.5
SDOT001,OC3CL200196,2023,1,3,20,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.8
SDOT001,OC3CL200196,2023,1,3,21,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.1
SDOT001,OC3CL200196,2023,1,3,22,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.1
SDOT001,OC3CL200196,2023,1,3,23,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.9
SDOT001,OC3CL200196,2023,1,4,0,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.0
SDOT001,OC3CL200196,2023,1,4,1,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.5
SDOT001,OC3CL200196,2023,1,4,2,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.2
SDOT001,OC3CL200196,2023,1,4,5,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.5
SDOT001,OC3CL200196,2023,1,4,6,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.0
SDOT001,OC3CL200196,2023,1,4,7,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.7
SDOT001,OC3CL200196,2023,1,4,8,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.7
SDOT001,OC3CL200196,2023,1,4,9,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.2
SDOT001,OC3CL200196,2023,1,4,10,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.6
SDOT001,OC3CL200196,2023,1,4,11,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.9
SDOT001,OC3CL200196,2023,1,4,12,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.0
SDOT001,OC3CL200196,2023,1,4,13,residential_area,Dongdaemun-gu,Cheongnyangni-dong,5.4
SDOT001,OC3CL200196,2023,1,4,14,residential_area,Dongdaemun-gu,Cheongnyangni-dong,6.1
SDOT001,OC3CL200196,2023,1,4,15,residential_area,Dongdaemun-gu,Cheongnyangni-dong,6.2
SDOT001,OC3CL200196,2023,1,4,16,residential_area,Dongdaemun-gu,Cheongnyangni-dong,4.9
SDOT001,OC3CL200196,2023,1,4,17,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.8
SDOT001,OC3CL200196,2023,1,4,18,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.5
SDOT001,OC3CL200196,2023,1,4,19,residential_area,Dongdaemun-gu,Cheongnyangni-dong,1.7
SDOT001,OC3CL200196,2023,1,4,20,residential_area,Dongdaemun-gu,Cheongnyangni-dong,0.9
SDOT001,OC3CL200196,2023,1,4,21,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-0.9
SDOT001,OC3CL200196,2023,1,4,22,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.9
SDOT001,OC3CL200196,2023,1,4,23,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.4
SDOT001,OC3CL200196,2023,1,5,1,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.2
SDOT001,OC3CL200196,2023,1,5,2,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.8
SDOT001,OC3CL200196,2023,1,5,5,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.6
SDOT001,OC3CL200196,2023,1,5,6,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.0
SDOT001,OC3CL200196,2023,1,5,7,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.3
SDOT001,OC3CL200196,2023,1,5,8,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-5.6
SDOT001,OC3CL200196,2023,1,5,9,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.9
SDOT001,OC3CL200196,2023,1,5,10,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.0
SDOT001,OC3CL200196,2023,1,5,11,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.4
SDOT001,OC3CL200196,2023,1,5,12,residential_area,Dongdaemun-gu,Cheongnyangni-dong,1.1
SDOT001,OC3CL200196,2023,1,5,13,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.4
SDOT001,OC3CL200196,2023,1,5,14,residential_area,Dongdaemun-gu,Cheongnyangni-dong,6.7
SDOT001,OC3CL200196,2023,1,5,15,residential_area,Dongdaemun-gu,Cheongnyangni-dong,5.3
SDOT001,OC3CL200196,2023,1,5,16,residential_area,Dongdaemun-gu,Cheongnyangni-dong,5.3
SDOT001,OC3CL200196,2023,1,5,17,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.8
SDOT001,OC3CL200196,2023,1,5,18,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.7
SDOT001,OC3CL200196,2023,1,5,19,residential_area,Dongdaemun-gu,Cheongnyangni-dong,2.0
SDOT001,OC3CL200196,2023,1,5,20,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-0.1
SDOT001,OC3CL200196,2023,1,5,21,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.0
SDOT001,OC3CL200196,2023,1,5,22,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.4
SDOT001,OC3CL200196,2023,1,5,23,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-1.8
SDOT001,OC3CL200196,2023,1,6,1,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.7
SDOT001,OC3CL200196,2023,1,6,4,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.5
SDOT001,OC3CL200196,2023,1,6,5,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.6
SDOT001,OC3CL200196,2023,1,6,6,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.8
SDOT001,OC3CL200196,2023,1,6,7,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.7
SDOT001,OC3CL200196,2023,1,6,8,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-4.4
SDOT001,OC3CL200196,2023,1,6,9,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-3.9
SDOT001,OC3CL200196,2023,1,6,10,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-2.7
SDOT001,OC3CL200196,2023,1,6,11,residential_area,Dongdaemun-gu,Cheongnyangni-dong,-0.6
SDOT001,OC3CL200196,2023,1,6,12,residential_area,Dongdaemun-gu,Cheongnyangni-dong,3.7
SDOT001,OC3CL200196,2023,1,6,13,residential_area,Dongdaemun-gu,Cheongnyangni-dong,6.4
